3777,testassemblies57
3498,testassemblies40
2013,testassemblies274
1922,testassemblies25
1826,testassemblies154
1823,testassemblies34
1801,testassemblies305
1768,testassemblies50
1746,testassemblies128
1731,testassemblies215
1718,testassemblies163
1649,testassemblies108
1614,testassemblies24
1597,testassemblies45
1497,testassemblies222
1463,testassemblies85
1439,testassemblies145
1425,testassemblies21
1403,testassemblies144
1391,testassemblies105
1347,testassemblies70
1318,testassemblies56
1311,testassemblies401
1307,testassemblies31
1307,testassemblies239
1303,testassemblies267
1300,testassemblies115
1290,testassemblies98
1275,testassemblies406
1222,testassemblies168
1215,testassemblies142
1197,testassemblies308
1185,testassemblies319
1178,testassemblies491
1175,testassemblies352
1167,testassemblies54
1167,testassemblies155
1161,testassemblies184
1158,testassemblies33
1151,testassemblies81
1151,testassemblies251
1142,testassemblies419
1140,testassemblies385
1114,testassemblies259
1113,testassemblies403
1109,testassemblies29
1094,testassemblies238
1082,testassemblies432
1072,testassemblies124
1070,testassemblies210
1070,testassemblies390
1070,testassemblies446
1066,testassemblies121
1064,testassemblies74
1061,testassemblies136
1058,testassemblies312
1053,testassemblies329
1051,testassemblies261
1044,testassemblies283
1029,testassemblies135
1009,testassemblies194
969,testassemblies93
969,testassemblies346
965,testassemblies91
952,testassemblies257
940,testassemblies76
938,testassemblies44
933,testassemblies197
931,testassemblies165
925,testassemblies326
921,testassemblies131
918,testassemblies425
910,testassemblies336
908,testassemblies318
907,testassemblies201
900,testassemblies153
900,testassemblies188
900,testassemblies214
896,testassemblies496
880,testassemblies190
878,testassemblies394
865,testassemblies338
861,testassemblies211
860,testassemblies2
855,testassemblies228
850,testassemblies176
849,testassemblies221
847,testassemblies114
845,testassemblies198
844,testassemblies289
837,testassemblies205
821,testassemblies199
821,testassemblies242
821,testassemblies255
819,testassemblies295
816,testassemblies89
812,testassemblies200
810,testassemblies364
808,testassemblies252
806,testassemblies334
804,testassemblies427
804,testassemblies459
795,testassemblies183
783,testassemblies275
778,testassemblies472
771,testassemblies96
764,testassemblies490
760,testassemblies268
756,testassemblies431
750,testassemblies315
746,testassemblies151
741,testassemblies156
738,testassemblies404
731,testassemblies186
728,testassemblies111
712,testassemblies369
708,testassemblies389
701,testassemblies67
694,testassemblies53
693,testassemblies439
688,testassemblies82
688,testassemblies138
687,testassemblies158
685,testassemblies375
684,testassemblies166
683,testassemblies350
681,testassemblies284
679,testassemblies69
679,testassemblies216
677,testassemblies208
676,testassemblies366
675,testassemblies170
673,testassemblies409
673,testassemblies423
668,testassemblies377
668,testassemblies484
666,testassemblies38
666,testassemblies367
665,testassemblies59
658,testassemblies291
655,testassemblies410
654,testassemblies100
652,testassemblies440
644,testassemblies62
641,testassemblies120
640,testassemblies359
636,testassemblies225
636,testassemblies280
628,testassemblies123
628,testassemblies277
627,testassemblies461
626,testassemblies449
624,testassemblies109
620,testassemblies173
617,testassemblies324
616,testassemblies293
610,testassemblies182
606,testassemblies302
606,testassemblies310
606,testassemblies450
605,testassemblies212
603,testassemblies362
596,testassemblies447
594,testassemblies161
591,testassemblies149
579,testassemblies234
578,testassemblies271
577,testassemblies65
576,testassemblies476
575,testassemblies443
573,testassemblies494
570,testassemblies304
566,testassemblies3
565,testassemblies341
559,testassemblies426
547,testassemblies417
546,testassemblies272
542,testassemblies180
542,testassemblies452
540,testassemblies405
533,testassemblies11
533,testassemblies181
533,testassemblies245
530,testassemblies103
525,testassemblies160
520,testassemblies126
516,testassemblies458
515,testassemblies220
513,testassemblies393
508,testassemblies249
504,testassemblies489
503,testassemblies48
499,testassemblies413
494,testassemblies51
494,testassemblies456
490,testassemblies13
483,testassemblies422
477,testassemblies132
473,testassemblies218
471,testassemblies192
465,testassemblies356
462,testassemblies79
461,testassemblies246
460,testassemblies399
459,testassemblies418
458,testassemblies203
456,testassemblies118
451,testassemblies171
451,testassemblies264
449,testassemblies146
447,testassemblies66
443,testassemblies397
438,testassemblies355
436,testassemblies383
428,testassemblies473
423,testassemblies353
422,testassemblies150
422,testassemblies262
421,testassemblies35
420,testassemblies360
417,testassemblies73
417,testassemblies87
415,testassemblies286
415,testassemblies328
412,testassemblies466
404,testassemblies300
395,testassemblies482
385,testassemblies243
385,testassemblies454
383,testassemblies372
382,testassemblies236
381,testassemblies493
378,testassemblies354
376,testassemblies159
357,testassemblies137
355,testassemblies467
355,testassemblies481
353,testassemblies335
352,testassemblies107
351,testassemblies407
345,testassemblies381
341,testassemblies380
319,testassemblies492
318,testassemblies130
318,testassemblies232
313,testassemblies311
308,testassemblies441
297,testassemblies348
296,testassemblies386
294,testassemblies437
284,testassemblies204
277,testassemblies497
270,testassemblies9
262,testassemblies140
254,testassemblies27
254,testassemblies463
252,testassemblies229
241,testassemblies253
241,testassemblies378
237,testassemblies331
210,testassemblies99
198,testassemblies468
182,testassemblies297
177,testassemblies343
169,testassemblies358
166,testassemblies322
161,testassemblies429
153,testassemblies8
149,testassemblies436
144,testassemblies94
100,testassemblies6
38,testassemblies384
27,testassemblies122
26,testassemblies395
25,testassemblies206
25,testassemblies412
23,testassemblies157
21,testassemblies83
21,testassemblies398
20,testassemblies382
19,testassemblies61
18,testassemblies18
18,testassemblies273
18,testassemblies444
18,testassemblies451
17,testassemblies86
17,testassemblies244
17,testassemblies290
16,testassemblies193
16,testassemblies455
16,testassemblies495
15,testassemblies445
14,testassemblies376
13,testassemblies43
13,testassemblies233
11,testassemblies164
11,testassemblies177
11,testassemblies464
10,testassemblies101
10,testassemblies224
10,testassemblies337
9,testassemblies16
9,testassemblies125
9,testassemblies162
9,testassemblies217
9,testassemblies250
9,testassemblies387
9,testassemblies453
8,testassemblies185
8,testassemblies247
7,testassemblies17
7,testassemblies52
7,testassemblies64
7,testassemblies113
7,testassemblies285
6,testassemblies169
6,testassemblies202
6,testassemblies241
6,testassemblies266
6,testassemblies371
6,testassemblies392
5,testassemblies22
5,testassemblies23
5,testassemblies75
5,testassemblies219
5,testassemblies307
5,testassemblies379
5,testassemblies402
5,testassemblies415
4,testassemblies147
4,testassemblies313
4,testassemblies361
4,testassemblies420
4,testassemblies448
4,testassemblies498
3,testassemblies30
3,testassemblies71
3,testassemblies174
3,testassemblies248
3,testassemblies321
3,testassemblies396
3,testassemblies428
2,testassemblies46
2,testassemblies47
2,testassemblies63
2,testassemblies178
2,testassemblies179
2,testassemblies235
2,testassemblies254
2,testassemblies265
2,testassemblies279
2,testassemblies303
2,testassemblies327
2,testassemblies332
2,testassemblies351
2,testassemblies357
2,testassemblies363
2,testassemblies480
1,testassemblies12
1,testassemblies49
1,testassemblies68
1,testassemblies72
1,testassemblies102
1,testassemblies127
1,testassemblies129
1,testassemblies133
1,testassemblies139
1,testassemblies143
1,testassemblies240
1,testassemblies281
1,testassemblies282
1,testassemblies294
1,testassemblies298
1,testassemblies317
1,testassemblies325
1,testassemblies340
1,testassemblies487